ts,Open,High,Low,Close,Volume,ATR,ADX,RSI,EMA50,EMA200
2025-02-21 03:15:00+00:00,1.05016,1.05039,1.05015,1.05038,727,0.0004836958290601265,23.163319781137485,62.090641889328566,1.0487224496720762,1.0461682577298237
2025-02-21 03:30:00+00:00,1.05033,1.05035,1.05001,1.05015,658,0.00047557469841297327,23.07708904378259,58.510907786419466,1.048778432037877,1.0462078770558951
2025-02-21 03:45:00+00:00,1.05014,1.05047,1.05014,1.05028,395,0.00046517650566918527,23.22470201081663,59.91753570685561,1.0488373170559995,1.0462483956921549
2025-02-21 04:00:00+00:00,1.05029,1.05049,1.05014,1.05037,489,0.0004569496124070899,23.400683234935844,60.90572979603085,1.0488974222694898,1.0462894066802926
2025-02-21 04:15:00+00:00,1.05043,1.0505,1.05035,1.05038,465,0.0004350246400923045,23.584813334820268,61.02072078669948,1.048955562572647,1.0463301091013841
2025-02-21 04:30:00+00:00,1.05042,1.05045,1.05023,1.05026,449,0.0004196657372285763,23.323674339389648,58.78616221215487,1.049006716981563,1.04636921249341
2025-02-21 04:45:00+00:00,1.05022,1.05022,1.04975,1.04991,468,0.000426118184569393,21.702511755690864,52.721912857595385,1.049042139845031,1.0464044442098936
2025-02-21 05:00:00+00:00,1.04992,1.05008,1.04947,1.04959,770,0.00043925259995729343,20.887144047517342,47.86066984525898,1.0490636245569904,1.0464361412824321
2025-02-21 05:15:00+00:00,1.04963,1.04986,1.04958,1.04966,653,0.0004278774142460623,20.130016889927642,48.969134506773216,1.0490870118292652,1.0464682194786268
2025-02-21 05:30:00+00:00,1.04965,1.04974,1.04942,1.04947,746,0.000420171884657049,19.81480936600755,46.104060618357515,1.0491020309732155,1.046498087941526
2025-02-21 05:45:00+00:00,1.04948,1.04952,1.04916,1.04929,831,0.00041587389289582524,20.098688037065426,43.507033649504876,1.0491094023075993,1.0465258681610132
2025-02-21 06:00:00+00:00,1.04928,1.04936,1.04909,1.04931,857,0.00040545432911755143,20.50936667345198,43.885264004156184,1.0491172688837718,1.0465535709653813
2025-02-21 06:15:00+00:00,1.0493,1.04942,1.04879,1.04902,982,0.0004214933056091642,21.477958440719267,39.73143220609127,1.0491134544177414,1.0465781125478153
2025-02-21 06:30:00+00:00,1.04901,1.04938,1.04898,1.04916,697,0.00041995806949422077,22.377365081753176,42.55809341369729,1.0491152797346928,1.0466038029702251
2025-02-21 06:45:00+00:00,1.04915,1.0492,1.04879,1.04885,821,0.0004192467788160637,23.567165840071173,38.27713815571325,1.0491048766078421,1.046626153189427
2025-02-21 07:00:00+00:00,1.04898,1.04981,1.04898,1.04955,1163,0.0004578720089006199,22.62041493932279,50.407989263360044,1.0491223324271424,1.0466552461925172
2025-02-21 07:15:00+00:00,1.04956,1.04983,1.04954,1.04975,899,0.000445881151122013,21.684231107400358,53.235953670059374,1.0491469468417642,1.0466860397627409
